ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
17.80,0.12,0.05,5,100,2000,10,100
15.11,0.12,0.02,5,100,2000,10,150
19.67,0.29,0.12,5,100,2000,10,200
27.01,0.45,0.26,5,100,2000,10,250
41.05,0.49,0.32,5,100,2000,10,300
31.94,0.43,0.27,5,100,2000,10,350
35.86,0.64,0.49,5,100,2000,10,400
31.18,0.78,0.57,5,100,2000,10,450
43.85,0.90,0.62,5,100,2000,10,500
32.26,0.95,0.86,5,100,2000,10,550
42.38,1.03,0.83,5,100,2000,10,600
60.53,1.19,0.95,5,100,2000,10,650
50.86,1.28,1.12,5,100,2000,10,700
43.36,1.54,1.46,5,100,2000,10,750
45.28,1.62,1.41,5,100,2000,10,800
30.34,1.69,1.38,5,100,2000,10,850
35.42,1.78,1.55,5,100,2000,10,900
42.43,2.07,1.90,5,100,2000,10,950
37.08,2.29,2.12,5,100,2000,10,1000
58.85,2.41,2.09,5,100,2000,10,1050
54.29,2.45,2.19,5,100,2000,10,1100
74.31,2.79,2.67,5,100,2000,10,1150
103.36,3.29,3.05,5,100,2000,10,1200
117.85,3.24,3.03,5,100,2000,10,1250
114.32,3.25,2.96,5,100,2000,10,1300
66.37,3.68,3.35,5,100,2000,10,1350
60.16,3.90,3.71,5,100,2000,10,1400
52.90,3.98,3.81,5,100,2000,10,1450
73.74,4.29,4.10,5,100,2000,10,1500
75.76,4.52,4.24,5,100,2000,10,1550
159.94,4.84,4.51,5,100,2000,10,1600
126.38,5.27,5.01,5,100,2000,10,1650
147.32,5.51,5.33,5,100,2000,10,1700
99.44,5.57,5.29,5,100,2000,10,1750
119.36,5.84,5.64,5,100,2000,10,1800
117.14,5.91,5.74,5,100,2000,10,1850
110.90,6.49,6.28,5,100,2000,10,1900
136.78,7.15,6.94,5,100,2000,10,1950
139.13,7.45,7.14,5,100,2000,10,2000
