ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
10.36,0.48,0.00,5,100,2000,10,100
12.05,0.38,0.12,5,100,2000,10,150
11.77,0.36,0.05,5,100,2000,10,200
13.02,0.24,0.09,5,100,2000,10,250
22.01,0.56,0.21,5,100,2000,10,300
20.35,0.54,0.24,5,100,2000,10,350
35.72,0.62,0.36,5,100,2000,10,400
32.33,0.65,0.46,5,100,2000,10,450
23.73,0.69,0.45,5,100,2000,10,500
28.21,0.81,0.58,5,100,2000,10,550
36.17,0.91,0.64,5,100,2000,10,600
35.49,0.96,0.79,5,100,2000,10,650
24.28,1.02,0.88,5,100,2000,10,700
32.21,1.19,1.00,5,100,2000,10,750
21.87,1.24,1.07,5,100,2000,10,800
23.38,1.38,1.15,5,100,2000,10,850
59.34,1.64,1.45,5,100,2000,10,900
52.03,1.61,1.51,5,100,2000,10,950
47.79,1.63,1.49,5,100,2000,10,1000
39.51,1.81,1.61,5,100,2000,10,1050
44.23,1.92,1.77,5,100,2000,10,1100
77.87,2.25,2.04,5,100,2000,10,1150
84.29,2.55,2.37,5,100,2000,10,1200
110.27,2.65,2.53,5,100,2000,10,1250
64.91,2.88,2.69,5,100,2000,10,1300
89.83,2.86,2.79,5,100,2000,10,1350
85.25,3.24,2.89,5,100,2000,10,1400
88.11,3.35,3.23,5,100,2000,10,1450
105.48,3.76,3.60,5,100,2000,10,1500
73.28,4.06,3.91,5,100,2000,10,1550
115.49,4.58,4.31,5,100,2000,10,1600
113.04,4.36,4.29,5,100,2000,10,1650
150.24,4.79,4.60,5,100,2000,10,1700
117.77,5.06,4.94,5,100,2000,10,1750
115.74,5.13,4.89,5,100,2000,10,1800
107.13,5.56,5.28,5,100,2000,10,1850
104.92,5.91,5.72,5,100,2000,10,1900
110.73,5.90,5.59,5,100,2000,10,1950
269.55,6.12,5.88,5,100,2000,10,2000
