ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
2043.85,1039.41,721.57,5,101,20000,10,1
2403.84,1111.19,753.82,5,101,20000,10,11
2144.51,995.31,744.78,5,101,20000,10,21
1827.65,894.92,705.09,5,101,20000,10,31
1881.30,925.48,710.07,5,101,20000,10,41
2609.67,1055.64,716.20,5,101,20000,10,51
2456.63,1027.59,724.17,5,101,20000,10,61
2461.31,928.98,665.54,5,101,20000,10,71
2004.67,953.40,687.48,5,101,20000,10,81
1788.55,883.89,691.05,5,101,20000,10,91
1869.09,871.92,719.44,5,101,20000,10,101
