ClientTime,RequestTime,SortingTime,ClientsNumber,SleepDelta,ArraySize,RequestsNumber,VaryingParam
2655.29,1172.01,955.84,5,101,20000,10,1
2403.72,994.69,842.31,5,101,20000,10,11
2454.02,1064.63,910.96,5,101,20000,10,21
2140.57,1013.18,861.78,5,101,20000,10,31
2193.71,1034.83,860.73,5,101,20000,10,41
2349.84,1060.72,872.51,5,101,20000,10,51
2347.77,1134.62,889.96,5,101,20000,10,61
1750.26,907.48,748.24,5,101,20000,10,71
2130.20,991.58,822.76,5,101,20000,10,81
2023.26,933.38,808.05,5,101,20000,10,91
1638.88,791.93,696.00,5,101,20000,10,101
